County,State,Education.Bachelor's Degree or Higher,Population.2020 Population
Bertie County,NC,13.6,17934
Bethel Census Area,AK,11.9,18666
Bexar County,TX,28,2009324
Bibb County,AL,10.4,22293
Bibb County,GA,25.4,157346
Bienville Parish,LA,12.8,12981
Big Horn County,MT,18.1,13124
Big Horn County,WY,19,11521
Big Stone County,MN,15.4,5166
Billings County,ND,26.3,945
Bingham County,ID,21.2,47992
Black Hawk County,IA,29.1,131144
Blackford County,IN,13.5,12112
Bladen County,NC,15.8,29606
Blaine County,ID,35.4,24272
Blaine County,MT,22.9,7044
Blaine County,NE,23,431
Blaine County,OK,16.5,8735
Blair County,PA,21.3,122822
Blanco County,TX,26.5,11374
Bland County,VA,14.2,6270
Bleckley County,GA,18.7,12583
Bledsoe County,TN,12,14913
Blount County,AL,13.1,59134
Blount County,TN,24.2,135280
Blue Earth County,MN,34.8,69112
Boise County,ID,27.1,7610
Bolivar County,MS,23.6,30985
Bollinger County,MO,8.9,10567
Bon Homme County,SD,18.3,7003
Bond County,IL,22.9,16725
Bonner County,ID,23.8,47110
Bonneville County,ID,31.3,123964
Boone County,AR,16.1,37373
Boone County,IA,25.3,26715
Boone County,IL,23.5,53448
Boone County,IN,49.3,70812
Boone County,KY,32.1,135968
Boone County,MO,46.1,183610
Boone County,NE,21.1,5379
Boone County,WV,9.7,21809
Borden County,TX,39.5,631
Bosque County,TX,19.8,18235
Bossier Parish,LA,25.2,128746
Botetourt County,VA,28.3,33596
Bottineau County,ND,24,6379
Boulder County,CO,62.1,330758
Boundary County,ID,19.8,12056
Bourbon County,KS,21.7,14360
Bourbon County,KY,19.4,20252
Bowie County,TX,20.6,92893
Bowman County,ND,24.2,2993
Box Butte County,NE,17.1,10842
Box Elder County,UT,23.9,57666
Boyd County,KY,19.4,48261
Boyd County,NE,16.7,1810
Boyle County,KY,25.2,30614
Bracken County,KY,13.2,8400
Bradford County,FL,9.9,28303
Bradford County,PA,18.7,59967
Bradley County,AR,14.3,10545
Bradley County,TN,22.3,108620
Branch County,MI,14.4,44862
Brantley County,GA,8.9,18021
Braxton County,WV,14.9,12447
Brazoria County,TX,30,372031
Brazos County,TX,41.7,233849
Breathitt County,KY,15.2,13718
Breckinridge County,KY,11.9,20432
Bremer County,IA,30.7,24988
Brevard County,FL,30.2,606612
Brewster County,TX,40,9546
Briscoe County,TX,19.8,1435
Bristol Bay Borough,AK,22.5,844
Bristol County,MA,28.7,579200
Bristol County,RI,49,50793
Bristol city,VA,25.4,17219
Broadwater County,MT,27.1,6774
Bronx County,NY,20.1,1472654
Brooke County,WV,19,22559
Brookings County,SD,40.3,34375
Brooks County,GA,17.8,16301
Brooks County,TX,15.7,7076
Broome County,NY,28.4,198683
Broomfield County,CO,55.7,74112
Broward County,FL,32.4,1944375
Brown County,IL,14.1,6244
